"next_page_token","results__formatted_address","results__geometry__location__lat","results__geometry__location__lng","results__geometry__viewport__|","results__geometry__viewport__|__lat","results__geometry__viewport__|__lng","results__icon","results__id","results__name","results__opening_hours__open_now","results__photos__height","results__photos__html_attributions__-","results__photos__photo_reference","results__photos__width","results__place_id","results__plus_code__compound_code","results__plus_code__global_code","results__rating","results__reference","results__types__001","results__types__002","results__types__003","results__types__004","results__types__005","results__user_ratings_total","status"
"","Goa Velha, Goa 403110, India","15.5057585","73.9137064","northeast","15.50711462989272","73.91507582989271","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","4d7b26ac793748b31b1c65cb90ce43cfa9e46bd8","Viceroys Arch, Goa","True","3024","<a href=""https://maps.google.com/maps/contrib/110058043851611242183"">Kiran Mohandas</a>","CmRaAAAAYIo8P6dJCNU79zE98zJlvlagfYE8DStMm6ckBchDBqljkhCOt40dZ-8ox-ejIHF3EkNqX6xuXjUU7U4HLLCjYIlPuDyxF48h7_cTyfw8EHQmz50FvawnkFHwDrQnCKPmEhBr0OuLKVBBuW-qbLBjNBkDGhTTv-ve_imuLsmBCl5TGyEImxoc7Q","4032","ChIJrRLnXou-vzsRTmy-Yn5wi5A","GW47+8F Ella, Goa","7J7MGW47+8F","4.2","ChIJrRLnXou-vzsRTmy-Yn5wi5A","tourist_attraction","point_of_interest","establishment","","","370",""
"","","","","southwest","15.50441497010728","73.91237617010728","","","","","","","","","","","","","","","","","","","",""
"","EDC Complex, patto, Panaji, Goa 403001, India","15.5031915","73.91085989999999","northeast","15.50440017989272","73.91229657989271","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","a3209ec875f5178be88cddb153482879a2cc02d6","Archaeological Museum of Goa","True","3000","<a href=""https://maps.google.com/maps/contrib/113944331034669814957"">A Google User</a>","CmRaAAAAMLmVw6k88L988vgJ6cdqVBH5aaC3cXmnDBbTbSmEPLHgFOJOlna_E36HsDii5j_76HCRr8WAFRHDEZChPXJsfBKNbSJtOxEqboRe5y2AfOcRUBjzoEHYbBKNCwkDz_tOEhAa7cNMaAew-AbIwkfYpY94GhTT1lfNaNt9w4JPXCCtpNGj0dqwOA","4000","ChIJkRYoGPO-vzsRJtAbk3TQPEc","GW36+78 Ella, Goa","7J7MGW36+78","4.3","ChIJkRYoGPO-vzsRJtAbk3TQPEc","tourist_attraction","museum","point_of_interest","establishment","","359",""
"","","","","southwest","15.50170052010728","73.90959692010728","","","","","","","","","","","","","","","","","","","",""
"","Old Goa, Goa Velha, Goa 403402, India","15.5002844","73.9137606","northeast","15.50165012989272","73.91503002989272","https://maps.gstatic.com/mapfiles/place_api/icons/museum-71.png","b15d5d9cf7aacbd45e9ac66875695a60444dc633","Wax World Museum","True","3456","<a href=""https://maps.google.com/maps/contrib/116867417578061876938"">Wasim Akram</a>","CmRaAAAAs0_FqaO6b75k_kPy7cU9ubTaxCtBabu7PgQNR9sc3GLQmowzeyye8jiwZepZqy6Du6BK3K_GQo1lX2RxSj0u6YsokU1xUyyPOmQlK-njjLTxIBuPm0-cD7G5KYIAr9b2EhD1J9n6sijwWwbaE0pSAniGGhTXLgAcKTwYKKzyQmtqusg_RTJRZA","5184","ChIJ751RXI2-vzsRLoDZRIDrQc4","GW27+4G Ella, Goa","7J7MGW27+4G","3.2","ChIJ751RXI2-vzsRLoDZRIDrQc4","tourist_attraction","museum","point_of_interest","establishment","","1005",""
"","","","","southwest","15.49895047010728","73.91233037010728","","","","","","","","","","","","","","","","","","","",""
"","Monte Santo, Goa Velha, Goa 403110, India","15.5013889","73.9075","northeast","15.50254197989272","73.90873677989272","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","166f7e1bc1f88a77f83482d660b3b9765f6d8eff","Convent of Santa Monica and The Chapel of The Weeping Cross","","1840","<a href=""https://maps.google.com/maps/contrib/100574430228507142149"">Dhruv Patel</a>","CmRaAAAAwbiY4LXPOVlOeGhWKSwdJiEU1OnpGFg5LSw8fx6ws3uxbjpRTwA5WOYOH0wHPIroGbzBnfqJOUXq5I3N_cyDnulZVamEjnocRNcirRIYdYx0PS5Vi-hiI-9XDwmh7IJuEhBg-aLBA_lW5bkfu7b-fHO-GhSNPqzx3tD33FMTh4jOautE3TV9Hg","2736","ChIJ1TGrOvK-vzsR97M1pNwn4yY","GW24+HX Bainguinim, Goa","7J7MGW24+HX","4.7","ChIJ1TGrOvK-vzsR97M1pNwn4yY","tourist_attraction","place_of_worship","point_of_interest","establishment","","41",""
"","","","","southwest","15.49984232010727","73.90603712010727","","","","","","","","","","","","","","","","","","","",""
"","Goa Velha, Goa 403110, India","15.5055517","73.9141983","northeast","15.50678742989273","73.91559632989272","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","2b60ea7370887138cef30f305ade4489870f20cc","Adil Shah Palace Gateway","True","4016","<a href=""https://maps.google.com/maps/contrib/115767677283682741853"">A Google User</a>","CmRaAAAAZFi5kypi-6iQB6MkE7BsqxcVvroswfryJR5w2f04KCthg5OeP-cOC-j-w4Lst_e4JlNdVGmQ6UWlScXRQXakEKU3ymCjWAiDauil9qfzSWY1BkxF4twMS2XEyBp0dSkWEhB1JDlog6OFYi-VETIJWd9WGhRpBYch2VxM_8BArgXbgqK6CI1bmA","6016","ChIJrUMKXou-vzsRG2SLL5cWces","GW47+6M Ella, Goa","7J7MGW47+6M","4.1","ChIJrUMKXou-vzsRG2SLL5cWces","tourist_attraction","point_of_interest","establishment","","","80",""
"","","","","southwest","15.50408777010728","73.91289667010729","","","","","","","","","","","","","","","","","","","",""
"","Goa Velha, Goa 403110, India","15.5045002","73.9233584","northeast","15.50580842989272","73.92463737989273","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","3ec4ebf9ab3f41aa78a82a6a4d464c791e1d88d2","Chapel of Our Lady of the Mount","","3000","<a href=""https://maps.google.com/maps/contrib/110840781642533738723"">A Google User</a>","CmRaAAAAqAqhBqWZI8ne1vvdLwfmnE21ZOko-WlGSpNIJBbL1pnqsUbXOGo9ZpPSJyItNXxM4Xp3hFehVdk4cyKojxN-NansTRL5meDomYecTKmLkA2cAFYLg_4DgSbsWBiGYZ4yEhBf34YVFbCHNnnjvZTtUpPaGhTDMcYZR3aq_ezizdYWofyEhX-8vg","3000","ChIJW9QdZo--vzsRdSugrHnV5Gw","GW3F+R8 Ella, Goa","7J7MGW3F+R8","4.5","ChIJW9QdZo--vzsRdSugrHnV5Gw","tourist_attraction","church","place_of_worship","point_of_interest","establishment","969",""
"","","","","southwest","15.50310877010728","73.92193772010728","","","","","","","","","","","","","","","","","","","",""
"","Bainguinim, Goa 403110, India","15.5006988","73.90569259999999","northeast","15.50194527989272","73.90710987989272","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","e3852deae80946ae73edde53f8ba6682272b7bb2","Royal Chapel of St. Anthony","","3024","<a href=""https://maps.google.com/maps/contrib/103579530669232174497"">Shekhar Banerjee</a>","CmRaAAAALTrY7YB0v4g0vjcHGyc3OPy0U06mZlPI9wVUQM0ZUNJWLKohdYMtUh0cA6SnG3x6u-5q2dFHzvXgcNyoY974J8axdF_OWDYzi3YObB3RBS3-JvlL_H53ne3R6ogLWTsqEhBHx-CR7_YCEoP3NkMK85CHGhQPmckET9T89fgMU3HcPrJO1_sJUw","4032","ChIJ4TTwkvG-vzsR_nQNomX0_H8","GW24+77 Bainguinim, Goa","7J7MGW24+77","4.5","ChIJ4TTwkvG-vzsR_nQNomX0_H8","tourist_attraction","church","place_of_worship","point_of_interest","establishment","10",""
"","","","","southwest","15.49924562010727","73.90441022010728","","","","","","","","","","","","","","","","","","","",""
"","Monte Santo,, Goa Velha, Goa 403110, India","15.5007694","73.9078111","northeast","15.50218682989272","73.90914667989271","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","79104525adc327eb5f909bac4075b8c23e30a6ef","Church and Convent of St. John of God","","1365","<a href=""https://maps.google.com/maps/contrib/109099706823242434605"">Abhilash Bhakre</a>","CmRaAAAAFVlzr8ekfIH7116Gm8_JlTjvhz9nhXvNUw9TnSZHMID-0JFOIjc9QKZsdbMhFKmmVxGOcPJ9rYfxScW8adr1Jz1-UnCuq7f2ss8Bxm_yf5wvUdfhRQq2fkrz5M0C5idoEhD4pRBkpnLFgo5wVdm3t1OcGhRfaUYfu6ZpUk425W1RagIdRLO7gQ","2048","ChIJWbMUFfK-vzsRxQGL0-uPxFM","GW25+84 Bainguinim, Goa","7J7MGW25+84","4.5","ChIJWbMUFfK-vzsRxQGL0-uPxFM","tourist_attraction","church","place_of_worship","point_of_interest","establishment","17",""
"","","","","southwest","15.49948717010728","73.90644702010727","","","","","","","","","","","","","","","","","","","",""
"","North Goa, Goa 403110, India","15.503375","73.91043499999999","northeast","15.50494047989272","73.91176032989273","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","3b7077866d4b28255e228379dae9525cb1da87d1","Chapel of St. Catherine of Alexandria","","3456","<a href=""https://maps.google.com/maps/contrib/112042208548333362705"">vishwajeet ambastha</a>","CmRaAAAAB69BdKt7r2hoyiNL-Y1GBOUW49gS4aiKHEg0yOobfqnhCOXhA6_NmdLy8L1am-HhmUjX9EfItGgutf2FKmmGDdRnM8Q9GjjAnVCXqpRXetLnShnBhnmaNA1M0h72HEkLEhATYK04defnXOL92DUzcZlSGhTT5t-VLeBde-2tdPRKWwtUdDnhUA","4608","ChIJNcH7EPO-vzsRl1RKlSloJoI","GW36+95 Ella, Goa","7J7MGW36+95","4.4","ChIJNcH7EPO-vzsRl1RKlSloJoI","tourist_attraction","church","place_of_worship","point_of_interest","establishment","91",""
"","","","","southwest","15.50224082010728","73.90906067010728","","","","","","","","","","","","","","","","","","","",""
"","Goa Velha, Goa 403110, India","15.4924326","73.9134459","northeast","15.49381987989272","73.91474007989272","https://maps.gstatic.com/mapfiles/place_api/icons/worship_general-71.png","4713e753b357d23428cfb8ff2faacddb3e4e95ce","Our Lady Of Miracles Church","","2322","<a href=""https://maps.google.com/maps/contrib/103488434838255663873"">Debjoy Sarkar</a>","CmRaAAAA9rC9iIJ-2A3VeqdERYCj5-VcbUgweeIhWjQ3Zc8E0udFK_MQSw1GAOPE4CsKo-oZuqh_ytbvKAj29Mob0UV6tycFc8xhH5DyEbDyBhpqSaAjsdHt4_15b7RF1l0B3sBrEhAjb26u6Prs4zf9r1GHaE8KGhT9QfJIpyl-ECt5-terUQ0RIT7eBQ","4128","ChIJN1VVpu2-vzsRlQkcMrUJn4A","FWR7+X9 Bainguinim, Goa","7J7MFWR7+X9","4.7","ChIJN1VVpu2-vzsRlQkcMrUJn4A","tourist_attraction","church","place_of_worship","point_of_interest","establishment","68",""
"","","","","southwest","15.49112022010728","73.91204042010727","","","","","","","","","","","","","","","","","","","",""
"","Chorao Island, Ilhas, Ribandar, Goa 403006, India","15.5130468","73.8704154","northeast","15.51446977989272","73.87183727989273","https://maps.gstatic.com/mapfiles/place_api/icons/generic_recreational-71.png","634b3f6f7f1ecabf01a1f7d4ae4aaca9a52745f6","Dr. Salim Ali Bird Sanctuary","True","3024","<a href=""https://maps.google.com/maps/contrib/105488120760589264529"">Niloy Gourh</a>","CmRaAAAAq17eB4JHtBZC1p-bZbDVZL3SnhaxrY58e3Freh52Z8SZJy__EV1I9xF6eBRVZFvAwUO8laTUX02gPMHD0k84XbnLsHRWYPeWO_Bg0Uzurs_PLbYSfJUTxv0GG9JplKVfEhDsoNWJr6F6ofOIebvIvdHBGhTJm12Ldo5W6NZJUr9uwisTTYlbtQ","4032","ChIJYU0mP3W_vzsReXl288rhJ9M","GV7C+65 Chorao, Goa","7J7MGV7C+65","3.8","ChIJYU0mP3W_vzsReXl288rhJ9M","tourist_attraction","park","point_of_interest","establishment","","2240",""
"","","","","southwest","15.51177012010727","73.86913762010728","","","","","","","","","","","","","","","","","","","",""
"","Goa Velha, Goa 403110, India","15.5015981","73.91156289999999","northeast","15.50294392989272","73.91291177989271","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","92db33323f6ba8f639b435b42ee6582e1dda4f6b","Old church Goa punjim Panaji","","4032","<a href=""https://maps.google.com/maps/contrib/108179525453671451483"">A Google User</a>","CmRaAAAA25kj1MQAqcYgwTBW1VQ0Wad4mob0-pB9MZSvk7Z6PmEcPi2euPUJjXMIL0tdEUcsho434o0VIHz12dnaC5N3jSK_cJyOjwwcLK_M3rbAK1wABjy4JfRtDK7DTeFU71cPEhDMY3zRrzGFGBQaTdg5VRVsGhSMeTJyf8Eo7_PgGAEE-j1A3DOWGQ","1960","ChIJK1DIU5y_vzsRxCwqv6nwcWM","GW26+JJ Bainguinim, Goa","7J7MGW26+JJ","4.9","ChIJK1DIU5y_vzsRxCwqv6nwcWM","tourist_attraction","point_of_interest","establishment","","","13",""
"","","","","southwest","15.50024427010728","73.91021212010726","","","","","","","","","","","","","","","","","","","",""
"","309, Patto Business Center, Nr. Panaji Bus Stand, Patto Plaza, Panaji, Goa 403001, India","15.496937","73.835734","northeast","15.49824817989272","73.83712752989273","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","e5869aa885a32078c650314485e68fb033629143","Goa Top 10","True","2592","<a href=""https://maps.google.com/maps/contrib/108979940633572023002"">Jeet Panwar</a>","CmRaAAAAJpMQ3jdFMcZlzBbF5-B9glsB_b_uesOklEunVPuVlNOgavDcKz46CgHXwrQvLbamnvsnW3sT4Fb8MvMvrRnVrvtXaRSj6Kz_n2KKfFB1RWJuH8-ZV8b4YTvTho8Zj3-2EhB6pjaxS3RcgMtw3UsoJObVGhTyppxO5JBjJ531tuX3f6c7N1udoQ","4608","ChIJvz1rfoTAvzsRkfK9gNLZmnc","FRWP+Q7 Panaji, Goa","7J7MFRWP+Q7","4.5","ChIJvz1rfoTAvzsRkfK9gNLZmnc","tourist_attraction","point_of_interest","establishment","","","306",""
"","","","","southwest","15.49554852010728","73.83442787010728","","","","","","","","","","","","","","","","","","","",""
"","#1239, Cross Farm, Tolto, St. Estevam, Tiswadi, Goa, Saint Estevam, St Estevam Island, Goa 403106, India","15.522276","73.932692","northeast","15.52364032989272","73.93403037989272","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","d3eb4f658b60a7803d332616941b6bbf90f87e78","Crocodile Trip","True","2448","<a href=""https://maps.google.com/maps/contrib/113399082483145981505"">Leo Menezes</a>","CmRaAAAA3tuwjYxEQwjuP493d0SC_Vo-QL6HDA16U7S3SDLv3f0oRxqQF45z59RFEGu7nDMk3V4sG2t0dIAAyZ7wlIFlSLJGZg2Zn98iD20DM4gnJqN_RErNNHB1i2oftBN_S99hEhBjM_sR-D_pVf5TJLTP_5glGhQjUlcpaYYpBrpRRXRozzJ6oZsHNA","3264","ChIJE9KIQXe-vzsRH9wlc9QBGK8","GWCM+W3 St Estevam Island, Goa","7J7MGWCM+W3","3.9","ChIJE9KIQXe-vzsRH9wlc9QBGK8","tourist_attraction","point_of_interest","establishment","","","39",""
"","","","","southwest","15.52094067010727","73.93133072010727","","","","","","","","","","","","","","","","","","","",""
"","Old Goa Road, Goa Velha, Goa 403110, India","15.5007814","73.9117","northeast","15.50208207989272","73.91317827989272","https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png","2209fbc6523756647f0013b18ae895f77820a362","Relics Of St. Francis Xavier","True","2250","<a href=""https://maps.google.com/maps/contrib/108948674307277845912"">Neel Maradia</a>","CmRaAAAAsjcnZ74aoDSjKbAvzDOqZzCnDhrvfZFcowmyVIKUy7HYuMqDirMDGt9enHvhczYoSGqdXWayae5jiY9pXD7lupOlLRpOH7Wm-Ogk_CPLVk0QPTj5Iux7WVJB6hdwc3LTEhCRwhWlxTE53zpmrQ57KCTqGhQdy_n7E714v7R4m7UEecf8MWdX0A","4000","ChIJ3VHkufK-vzsR-qTYDyPRyq4","GW26+8M Bainguinim, Goa","7J7MGW26+8M","4.6","ChIJ3VHkufK-vzsR-qTYDyPRyq4","tourist_attraction","point_of_interest","establishment","","","75",""
"","","","","southwest","15.49938242010728","73.91047862010728","","","","","","","","","","","","","","","","","","","",""
